epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.8848,1.40116,4.74773,2.84111,1.58923,0.01145,0.91304,0.28607,0.14936,0.01086,0.85232,0.25492,0.12812,1.10909,2.71757,2.91391,1.17115,6.668e-05,6.668e-05,6.668e-05
2,156.114,1.03106,3.07506,2.73222,1.33408,0.01123,0.87406,0.56495,0.42252,0.01063,0.81334,0.54263,0.3861,0.76413,2.49194,2.8659,0.85952,0.000147059,0.000147059,0.000147059
3,201.825,0.83773,2.25761,2.5541,1.22048,0.01118,0.8913,0.67051,0.53666,0.01103,0.86957,0.65789,0.48751,0.75042,2.82309,2.86886,0.88098,0.000224138,0.000224138,0.000224138
4,245.276,0.76832,1.85994,2.34965,1.15428,0.01094,0.93478,0.70512,0.52038,0.01036,0.87406,0.66258,0.50325,0.84194,2.74677,2.85773,0.95683,0.000297916,0.000297916,0.000297916
5,288.708,0.73903,1.62431,2.15308,1.13292,0.01013,0.93478,0.74219,0.59799,0.00956,0.87406,0.75933,0.59064,0.81689,2.66363,2.81869,0.96527,0.000368394,0.000368394,0.000368394
6,332.615,0.74907,1.61113,1.96702,1.134,0.00991,0.95652,0.7779,0.60458,0.00915,0.87406,0.77205,0.62548,0.79151,2.19609,2.78175,0.90361,0.00043557,0.00043557,0.00043557
7,376.354,0.7862,1.57954,1.79348,1.12648,0.00975,0.95652,0.70776,0.43657,0.00876,0.85682,0.69875,0.45739,1.10928,2.62995,2.83976,1.13678,0.000499447,0.000499447,0.000499447
8,421.27,0.79785,1.5665,1.60063,1.12835,0.00933,0.91304,0.70711,0.52143,0.00894,0.87406,0.71706,0.48482,0.98867,2.91976,2.73622,1.08299,0.000560022,0.000560022,0.000560022
9,464.147,0.83476,1.55604,1.44833,1.17661,0.9451,0.20501,0.5981,0.44554,0.97912,0.1976,0.58386,0.44602,1.25589,3.7914,2.50215,1.45287,0.000617297,0.000617297,0.000617297
10,507.085,0.83798,1.36447,1.32125,1.15098,0.94079,0.35828,0.48189,0.32679,0.78718,0.38125,0.49282,0.36852,1.35444,5.98654,2.46981,1.29307,0.000671271,0.000671271,0.000671271
11,551.893,0.83493,1.52177,1.30955,1.14097,0.87529,0.51953,0.72544,0.57142,0.93159,0.55706,0.75416,0.59144,1.00504,3.50748,2.09296,1.19621,0.000721944,0.000721944,0.000721944
12,596.18,0.75438,1.33204,1.17858,1.1263,0.81482,0.62294,0.71547,0.46216,0.85028,0.64468,0.71116,0.45595,1.16052,3.4208,2.18125,1.41509,0.000769317,0.000769317,0.000769317
13,639.556,0.75571,1.18026,1.12037,1.13712,0.78712,0.51126,0.65278,0.46957,0.81799,0.50975,0.62762,0.43758,1.01878,3.77642,2.12112,1.31754,0.000813389,0.000813389,0.000813389
14,682.875,0.76934,1.3398,1.09573,1.09552,0.58995,0.60439,0.59189,0.38795,0.58074,0.58439,0.60662,0.35998,1.11422,2.51884,1.93999,1.20048,0.000854161,0.000854161,0.000854161
15,726.401,0.7716,1.29628,1.07062,1.10239,0.58848,0.65292,0.5891,0.31689,0.58848,0.65292,0.55941,0.33212,1.41552,2.26706,1.95706,1.61528,0.000891632,0.000891632,0.000891632
16,769.964,0.80347,1.34223,1.02995,1.15375,0.6504,0.65821,0.60199,0.42325,0.62771,0.63647,0.58067,0.42524,1.18673,2.06112,1.71258,1.43954,0.000925802,0.000925802,0.000925802
17,813.585,0.74266,1.35965,1.00045,1.0911,0.50833,0.60945,0.52212,0.31253,0.53499,0.6537,0.52834,0.31815,1.47554,2.07733,1.97292,1.60144,0.000956671,0.000956671,0.000956671
18,857.492,0.75429,1.3389,0.9799,1.09364,0.43676,0.57046,0.45929,0.24889,0.47218,0.60912,0.49157,0.26158,1.55232,2.10339,1.99723,1.80216,0.00098424,0.00098424,0.00098424
19,900.707,0.69845,1.13462,0.91468,1.06866,0.51853,0.53633,0.49273,0.29229,0.54041,0.57496,0.49991,0.28638,1.31001,1.96492,1.87018,1.50973,0.00100851,0.00100851,0.00100851
20,943.347,0.75652,1.32211,0.95066,1.09171,0.64515,0.5922,0.57155,0.37848,0.62896,0.57496,0.55463,0.3694,1.06257,1.71988,1.7306,1.14644,0.00102948,0.00102948,0.00102948
21,986.193,0.71169,1.19798,0.91854,1.09332,0.62009,0.69257,0.73348,0.54744,0.58331,0.65984,0.69161,0.48553,0.90002,1.93521,1.53209,1.03608,0.00100687,0.00100687,0.00100687
22,1028.66,0.71632,1.11416,0.91641,1.07374,0.85571,0.5922,0.78819,0.62329,0.85571,0.5922,0.76132,0.55357,0.90154,1.89376,1.43561,1.00754,0.000973861,0.000973861,0.000973861
23,1070.98,0.66115,1.17133,0.86216,1.07278,0.94614,0.70374,0.80739,0.66972,0.94614,0.70374,0.78736,0.62032,0.84276,1.95861,1.31399,0.93013,0.000940855,0.000940855,0.000940855
24,1114.26,0.69144,1.20949,0.88525,1.07728,0.7486,0.67466,0.71525,0.53111,0.77326,0.6964,0.74145,0.53263,0.97454,1.1525,1.39581,1.07183,0.000907848,0.000907848,0.000907848
25,1156.93,0.62543,1.11102,0.80949,1.04036,0.72782,0.65057,0.72012,0.5689,0.75616,0.67091,0.75186,0.56423,0.90962,0.9689,1.42246,0.97283,0.000874842,0.000874842,0.000874842
26,1199.55,0.61721,1.07933,0.80382,1.04171,0.85422,0.70915,0.81252,0.65672,0.88734,0.73088,0.83177,0.6395,0.79349,0.92663,1.34825,0.89178,0.000841835,0.000841835,0.000841835
27,1242.22,0.60782,1.17461,0.80717,1.01639,0.85788,0.75002,0.86714,0.67953,0.82413,0.7961,0.85323,0.69026,0.8205,0.72459,1.19784,0.94626,0.000808828,0.000808828,0.000808828
28,1285.23,0.66098,1.12898,0.84568,1.05958,0.88897,0.81334,0.91666,0.69683,0.91727,0.83508,0.91116,0.69093,0.79652,0.68028,1.2153,0.90118,0.000775822,0.000775822,0.000775822
29,1328.04,0.63598,1.01299,0.79551,1.0355,0.92197,0.82381,0.92642,0.75488,0.94944,0.84555,0.92109,0.74691,0.7093,0.71627,1.06175,0.81641,0.000742815,0.000742815,0.000742815
30,1370.88,0.59341,1.06199,0.74434,1.02493,0.96476,0.82838,0.94794,0.81634,0.99396,0.84989,0.96175,0.78652,0.64312,0.8364,0.91509,0.7741,0.000709809,0.000709809,0.000709809
31,1413.42,0.57654,1.05396,0.74633,1.03181,0.88798,0.90205,0.94915,0.82453,0.99055,0.85232,0.9336,0.79927,0.61942,0.90609,0.88912,0.74724,0.000676802,0.000676802,0.000676802
32,1455.62,0.62202,1.04581,0.77755,1.03278,0.99237,0.84783,0.93869,0.82725,0.99237,0.84783,0.90593,0.7958,0.61029,0.82807,0.96984,0.74289,0.000643795,0.000643795,0.000643795
33,1498.06,0.57228,0.99397,0.73158,1.00722,0.94159,0.86469,0.94587,0.80981,0.95392,0.83058,0.91506,0.77997,0.61417,0.97356,0.99024,0.7524,0.000610789,0.000610789,0.000610789
34,1541.5,0.58437,0.93767,0.72666,1.01132,0.98418,0.8463,0.95216,0.78665,0.98305,0.84732,0.94111,0.79018,0.63137,1.2012,0.99625,0.76592,0.000577782,0.000577782,0.000577782
35,1583.96,0.58602,1.00321,0.69837,1.01498,0.9672,0.8201,0.94243,0.76994,0.9827,0.84553,0.92235,0.78756,0.69392,0.8554,1.01429,0.80024,0.000544776,0.000544776,0.000544776
36,1627.33,0.63785,1.08785,0.7423,1.04058,0.9641,0.86422,0.9428,0.77378,0.99228,0.88596,0.95021,0.82162,0.64851,0.59168,0.93625,0.77563,0.000511769,0.000511769,0.000511769
37,1670.67,0.6231,0.94118,0.74505,1.03838,0.94398,0.86383,0.93848,0.83023,0.97219,0.88557,0.93089,0.84484,0.54514,0.50484,0.83161,0.70022,0.000478762,0.000478762,0.000478762
38,1713.41,0.56784,0.95319,0.71376,1.00402,0.9672,0.86407,0.94581,0.8434,0.99555,0.88575,0.93565,0.83266,0.55169,0.47542,0.80583,0.68909,0.000445756,0.000445756,0.000445756
39,1756.58,0.574,1.07841,0.70087,0.99521,0.96252,0.87172,0.95034,0.8363,0.99076,0.89107,0.93526,0.81886,0.546,0.49101,0.83548,0.6737,0.000412749,0.000412749,0.000412749
40,1800,0.57532,1.02737,0.72049,1.00876,0.93919,0.8913,0.95383,0.85933,0.96701,0.91304,0.93826,0.83544,0.50143,0.51451,0.82377,0.64174,0.000379743,0.000379743,0.000379743
41,1842.1,0.72747,0.97461,1.72596,1.15045,0.92812,0.8913,0.95797,0.86404,0.96817,0.91304,0.93845,0.83582,0.50654,0.52592,0.81397,0.6525,0.000346736,0.000346736,0.000346736
42,1883.1,0.63703,0.93781,1.38949,1.07715,0.94068,0.8913,0.94885,0.85479,0.9833,0.8892,0.94391,0.83071,0.51261,0.52221,0.82922,0.66572,0.000313729,0.000313729,0.000313729
43,1924.14,0.61151,0.95508,1.23407,1.04602,0.87412,0.92364,0.95268,0.85963,0.99812,0.83508,0.94186,0.83192,0.50266,0.50545,0.87619,0.66654,0.000280723,0.000280723,0.000280723
44,1965.02,0.63526,0.95408,1.13503,1.05544,0.9226,0.85682,0.94877,0.86711,0.90975,0.85682,0.94235,0.82802,0.49995,0.49872,0.95469,0.66538,0.000247716,0.000247716,0.000247716
45,2005.48,0.57626,0.80493,1.01876,1.02669,0.92769,0.87856,0.96045,0.86057,0.89539,0.85432,0.91419,0.81077,0.47955,0.53211,0.95487,0.65143,0.00021471,0.00021471,0.00021471
46,2045.74,0.54279,0.74463,0.96896,1.01151,0.97444,0.85019,0.96146,0.85946,0.91823,0.82526,0.91307,0.8161,0.49026,0.50722,0.95523,0.6592,0.000181703,0.000181703,0.000181703
47,2085.99,0.55648,0.80637,0.94939,0.98743,1,0.82907,0.95962,0.85606,0.96416,0.8387,0.93761,0.83211,0.49708,0.47329,0.92414,0.66353,0.000148696,0.000148696,0.000148696
48,2125.97,0.54007,0.79377,0.90654,1.0297,0.83539,0.9346,0.94966,0.85628,0.98948,0.8102,0.92984,0.84516,0.47196,0.44726,0.83326,0.63165,0.00011569,0.00011569,0.00011569
49,2166.5,0.52876,0.91979,0.91554,0.99669,0.83485,0.93928,0.95098,0.85818,0.98849,0.80881,0.93032,0.85176,0.46206,0.43012,0.80426,0.6213,8.26832e-05,8.26832e-05,8.26832e-05
50,2206.37,0.55518,0.79083,0.87259,1.01733,0.85203,0.92034,0.95246,0.85834,0.98291,0.80792,0.93676,0.84258,0.45586,0.42785,0.77497,0.61647,4.96766e-05,4.96766e-05,4.96766e-05
